;2004M01;2004M02;2004M03;2004M04;2004M05;2004M06;2004M07;2004M08;2004M09;2004M10;2004M11;2004M12;2005M01;2005M02;2005M03;2005M04;2005M05;2005M06;2005M07;2005M08;2005M09;2005M10;2005M11;2005M12;2006M01;2006M02;2006M03;2006M04;2006M05;2006M06;2006M07;2006M08;2006M09;2006M10;2006M11;2006M12;2007M01;2007M02;2007M03;2007M04;2007M05;2007M06;2007M07;2007M08;2007M09;2007M10;2007M11;2007M12;2008M01;2008M02;2008M03;2008M04;2008M05;2008M06;2008M07;2008M08;2008M09;2008M10;2008M11;2008M12;2009M01;2009M02;2009M03;2009M04;2009M05;2009M06;2009M07;2009M08;2009M09;2009M10;2009M11;2009M12;2010M01;2010M02;2010M03;2010M04;2010M05;2010M06;2010M07;2010M08;2010M09;2010M10;2010M11;2010M12;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12
Svendborg;13062;13909;13675;13296;16062;17464;20057;20171;19564;17041;16178;16491;16076;14084;14226;15332;15384;17963;17104;15526;15739;15657;18349;17264;18308;17813;18009;18568;16733;16147;16348;15349;20285;20878;20302;18076;17680;18392;19326;21689;21192;23373;24199;21971;24450;25913;24946;24946;25861;29622;29896;29186;28163;31077;31656;31373;29771;29004;28320;28354;28723;26823;25299;26004;26058;24644;26006;25859;25133;23814;23645;23380;22818;25204;24794;21205;24195;23292;24011;22628;22167;22603;24099;25409;25387;25550;22718;20731;20448;19470;19317;19456;17577;17199;18052;21733;21653;21421;20061;19922;19294;20225;18532;18845;20740;18902;14396;14156;14096;13769;14432;15906;17330;17542;16706;17560;17034;15790;14709;15261;15426;15368;17557;18535;17226;17130;16803;16963;16553;16358;14399;14532;13934;15282;15823;16374;16842;16848;17543;16839;17140;16418;16646;16018;16030;16648;17420;17944;19102;19664;19581;19819;19217;18898;18850;18850;19241;18737;19002;18055;18179;17935;17397;18067;19494;19992;17573;18288
Ærø;9769;10000;10000;10291;10291;10564;10978;9906;9520;9335;8186;8186;8186;8186;7187;7187;6339;6282;0;0;0;14634;0;0;0;7998;8050;8050;6560;7184;8134;10338;8500;8446;8631;9174;10274;10268;10833;10224;10232;10196;9608;8616;9096;10667;9208;9542;9604;10103;13707;14333;12699;16679;16710;15856;14965;15341;15341;15341;15479;15479;12782;12208;12072;12034;11210;12419;14635;14397;14581;15047;15047;15047;14133;13107;12915;13032;11471;10384;9273;9440;8208;7071;7071;7551;8201;9286;9391;9416;12404;13282;10395;10016;9807;9419;9929;9859;9595;9736;9952;9955;10486;10744;9996;9876;9727;9456;9604;8952;8679;8636;9411;8831;9040;8781;8542;8926;8948;9141;8891;8849;8562;8711;8337;8343;8344;8185;8485;8460;8556;8737;8790;8579;8385;8288;8296;8186;7617;7576;7749;7788;7705;7858;7900;7818;8458;9098;9485;9756;9360;9454;9063;9683;9658;9643;9540;9540;9683;9395;8755;8750;8261;7826;8168;8054;7482;7455
Landsdel Sydjylland;13012;12638;12969;13480;14661;14828;15145;15329;15625;16063;16101;16195;16335;16160;16925;17177;17405;17633;17438;17638;17872;17854;18034;18298;18268;18538;18874;19131;19423;19523;19814;20280;20106;19959;20296;20228;20356;20536;20849;20531;20586;20577;20844;20920;21091;21598;21783;22299;22410;22354;22136;22249;22624;22339;22312;22179;22242;22238;22113;22194;22356;21965;22050;21751;21819;21584;21613;21415;21513;21326;21147;21290;21179;21121;21046;21088;21031;21083;21119;21159;21257;21048;20909;20930;20731;20721;20813;21029;20958;20780;20832;20720;20572;20369;20282;20449;20522;20501;20573;20500;20380;20473;20470;20415;20404;20329;20069;20066;20042;20004;19878;19741;19638;19606;19508;19356;19373;19321;19277;19217;19193;18979;18989;18701;18663;18607;18478;18498;18345;18328;18277;18174;18147;18303;18307;18317;18292;18365;18304;18272;18176;18197;18107;18006;17985;17971;18001;18032;17940;18077;18057;18025;18084;18078;17981;18056;18170;18048;18085;17898;17868;17733;17673;17645;17575;17642;17692;17755
Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25278;23869;23815;23837;22957;22753;23156;23404;23213;23006;20756;23241;23667;23431;23431;23470;22923;22923;22846;23151;23100;22902;23225;22882;22604;22686;22937;23471;23608;24230;24217;23718;23687;23900;23544;23180;22292;22357;22403;22229;22503;22325;22584;22420;22393;22176;21901;22494;22321;22587;22587;22431;22360;22291;22400;22201;22132;22167;22242;22113;22473;22246;22346;22411;22274;22084;22258;22392;22411;22456;22133;22301;22380;22053;21835;21745;21789;21506;21584;21105;21255;21363;21323;21242;21178;20498;20328;20509;20362;20350;20500;20339;20180;20365;20292;20604;20580;20286;20323;20120;19836;20141;20114;20759;20681;20681;20671;20399;20596;20422;20486;20474;20647;20612;20718
Esbjerg;0;0;9936;11794;12568;10183;11348;6950;8000;12364;12364;15949;15949;15949;15949;17870;19545;19348;12958;18996;18287;21268;20018;19455;20508;22378;21940;20841;20788;16574;18478;19401;21965;21107;21491;22068;20654;20884;26175;25695;25992;24019;24019;24019;0;35706;34357;34357;34357;33240;21859;16738;31061;31399;28732;26460;24863;23900;23919;23919;29505;29505;26699;25719;23333;22407;22154;22154;22154;19889;19002;19241;19241;19058;19269;21050;24303;27418;27786;26737;28243;19446;20844;21032;21032;21284;21229;24350;24987;23219;25361;24859;23165;21194;18215;24235;24240;24065;23844;24404;22196;21357;22035;22739;22875;22905;22272;21939;23482;23412;22879;22585;21320;21341;20866;20477;20459;20822;20666;20758;20662;21316;21065;21065;20769;20932;21041;20975;21457;21186;20625;20933;19933;21162;21192;21000;23366;23305;23510;23666;23518;23410;21203;20627;21161;21042;23054;21492;21136;21417;22972;24976;22269;24803;25037;26976;27135;27155;26247;26486;26636;25568;27965;26908;27395;29437;28336;28255
Fanø;14473;15405;14498;15025;15563;15396;15572;16180;16573;17520;17905;17754;17960;16764;16928;16681;17834;18230;18116;18095;18388;18514;18695;18947;18655;19255;19707;19959;20133;19925;20022;19727;19751;20024;20631;20526;20417;20174;20778;20349;20857;20832;21413;21670;21564;21654;21926;22299;22806;22734;23165;23224;23344;23213;23094;23126;23109;23437;23333;23742;23073;22876;23048;23394;23382;23018;22909;22621;22948;22935;22816;23247;22896;22752;22938;22034;21602;22254;22137;22380;22414;22346;22199;22325;22386;23369;23880;23260;22842;22833;22241;22413;22045;21284;21295;21160;21489;22326;23095;23149;22984;23650;23378;23087;22823;22768;22763;22681;22895;22623;22907;22904;22772;22231;22269;22244;22020;22265;22184;21592;21759;21518;21246;21103;21148;21302;20644;20617;20697;20772;20444;20311;19985;20468;20226;20191;20111;20495;20102;20057;19588;19617;19719;19824;19715;19804;19568;19862;19866;19794;19754;19493;19411;19412;19718;19884;19975;20209;20385;20550;20392;19851;19567;19088;19142;19346;19054;19386
Fredericia;12685;25742;27368;27368;21563;21563;21563;21563;23750;20436;23750;23750;20154;21219;21616;21616;24205;28601;28093;28421;28421;32397;31933;31933;30925;31933;31933;31933;34950;34950;33225;41129;41129;41129;41129;41129;40323;39516;39516;39516;31500;31500;29225;0;0;0;0;59701;59701;59701;59701;59701;59701;0;0;0;0;21000;21000;21000;21000;21000;35350;27266;27266;27266;27266;27266;27266;28481;28481;28481;23819;23819;33750;36321;36190;32191;33708;34509;30471;32751;32751;32751;32751;25794;26969;33682;38844;32241;32238;27574;31946;31946;27513;38436;49986;49986;49219;55605;53138;53138;53138;52608;53992;53992;53992;53992;52375;50758;46228;40747;40591;40591;43019;48027;48027;49950;49661;49661;49661;46861;45347;45097;43589;38774;38538;42661;36361;36033;35687;34500;33288;38847;33604;33203;33102;35667;35667;35667;35667;40291;40291;44625;38234;38976;40115;40115;39390;52030;51694;33095;33095;33095;33095;32228;54156;37679;37679;14440;17176;25473;24933;19266;19266;21108;31395;37844
Haderslev;11593;11602;13216;13659;14051;13874;13874;13985;14263;15445;15481;15530;15261;15630;18898;19512;18135;17811;20181;19097;20075;18533;18104;18464;18313;18608;19586;18788;17842;17639;18381;20275;19570;19869;20927;20843;20855;20576;20740;19325;19382;19789;20962;21179;21997;23395;23827;23746;23220;21617;22752;23897;24767;23325;22968;22052;22387;22490;22646;22451;22033;22165;22197;21655;21638;21391;22035;20986;20048;20656;19846;20728;21362;21764;21100;20851;20717;20697;20769;20950;21160;20821;21090;21025;20878;20980;20938;20717;20702;21144;20649;20776;20524;21215;20910;21170;20823;20738;20354;20381;20721;21129;20668;21150;21392;21385;20536;20970;20845;20224;19711;19499;19507;19721;19081;19440;19152;19184;19248;19606;19105;19071;19168;18413;18455;18762;18514;18592;18627;18562;18345;18308;18492;18195;18667;18467;18267;18152;18312;18346;17951;18516;18943;18844;18661;18564;18306;18319;18446;18934;19087;19401;19297;19193;18748;18664;18978;18843;19116;19381;18227;18321;18046;17664;17231;17403;18142;18393
Kolding;14982;14702;15397;15653;16300;15775;16912;17745;17460;18047;17587;18220;18060;17567;18276;17749;17502;17326;18187;18974;19042;18660;19438;19340;19331;19617;20825;21762;22133;23199;23312;24009;23625;22928;23822;23757;23558;23470;23749;23600;23869;23655;24527;23704;23687;23959;23714;25518;24754;24042;23858;23424;23564;24335;25207;25196;25718;25624;26105;26006;26422;25576;25207;24622;24211;23657;24099;23354;23767;23693;23536;23549;23682;23884;23428;24116;24251;24356;24938;25094;25079;25107;24740;24419;24325;24233;23183;24266;24787;24737;24640;24563;24623;24125;23935;23851;23938;23835;24051;23966;23518;24010;25159;24867;24218;24479;23268;22641;22238;22876;22565;22840;22603;23441;23105;22512;22334;21879;21192;21644;21966;21710;21674;21406;21082;20920;20995;21527;21364;20626;21374;21464;21633;21176;21022;20596;20659;20647;20499;20497;20474;20569;20376;20088;20007;20134;20337;21060;20926;20991;21540;21823;22580;22527;21753;22416;22651;22332;22353;22145;22755;22805;22265;22075;21839;21378;21051;20750
Sønderborg;10020;9801;9959;10664;11380;11290;11622;12032;12211;12031;11839;12029;12038;12385;12755;12733;13142;13029;13490;14066;14980;15001;15241;14935;14578;14592;14763;15048;15447;15139;15231;15779;15789;15851;16514;16434;16476;16707;16140;16460;16343;16244;16273;16843;16365;16271;17734;17767;17696;17393;17040;16935;17317;17544;17375;17717;17635;17790;17562;17498;17715;17635;17601;17336;16893;16619;16624;17025;17058;17276;17107;17044;16870;16878;16693;16627;16856;16914;17011;17193;17362;17229;16986;17035;16836;16874;16708;16406;16397;16424;16312;16199;16002;16126;16183;15903;15798;15816;15803;15721;15610;15422;15336;15295;15513;15589;14852;14719;14577;14554;14526;14575;14461;14521;14058;14189;14036;14174;14218;14151;14088;13989;13902;13788;13709;13685;13771;13885;13450;13629;13636;13610;13512;13424;13673;13637;13410;13590;13702;13917;13869;13923;13749;13647;13791;13697;13523;13383;13459;13488;13706;13738;13860;13665;13487;13571;13502;13414;13387;13298;13450;13023;13322;13320;13267;13125;13024;13010
