;2004M01;2004M02;2004M03;2004M04;2004M05;2004M06;2004M07;2004M08;2004M09;2004M10;2004M11;2004M12;2005M01;2005M02;2005M03;2005M04;2005M05;2005M06;2005M07;2005M08;2005M09;2005M10;2005M11;2005M12;2006M01;2006M02;2006M03;2006M04;2006M05;2006M06;2006M07;2006M08;2006M09;2006M10;2006M11;2006M12;2007M01;2007M02;2007M03;2007M04;2007M05;2007M06;2007M07;2007M08;2007M09;2007M10;2007M11;2007M12;2008M01;2008M02;2008M03;2008M04;2008M05;2008M06;2008M07;2008M08;2008M09;2008M10;2008M11;2008M12;2009M01;2009M02;2009M03;2009M04;2009M05;2009M06;2009M07;2009M08;2009M09;2009M10;2009M11;2009M12;2010M01;2010M02;2010M03;2010M04;2010M05;2010M06;2010M07;2010M08;2010M09;2010M10;2010M11;2010M12;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12
Tønder;11541;11292;11649;12965;13315;13260;12751;13221;11288;11739;12033;11696;12547;13481;14006;15311;16106;16254;16399;17599;17897;18077;18080;20155;19269;19642;19628;20653;20666;20898;20908;20911;20451;20502;20524;20258;20270;19955;20550;18920;19198;19483;19641;19272;19289;19346;19259;19206;19281;19310;19422;18610;18835;18717;18767;19063;19597;19499;19286;19249;19065;18238;18142;18045;17872;17718;17438;17292;17335;17085;17167;17130;17271;17120;17044;16958;16970;16851;16873;17020;17074;16954;16714;16766;16574;16696;16532;16300;15941;16159;16026;16067;15876;15955;15872;15742;15871;15952;15815;15781;15902;16049;15906;16007;16038;16115;16130;16362;16238;16047;16021;15540;15426;15510;15619;15441;15721;15649;15678;15528;15601;15580;15471;15346;15313;15232;15054;15145;14991;15024;14936;14389;14309;14431;14310;14342;14083;13932;13991;14063;14068;14088;13927;13455;13441;13464;13623;13518;13426;13038;12930;12843;12983;13142;13087;13273;13153;13161;13074;13183;12992;13062;13003;13259;13282;13361;13219;13088
Varde;12705;11466;12081;12541;14669;15628;16007;16114;16524;16340;16567;16730;16817;16764;17655;17858;17551;17586;17106;17042;16984;17069;17171;17289;17240;17532;18047;18160;18841;18953;19447;19817;19634;19241;19309;19434;19717;20111;20521;20538;20512;20502;20492;20855;21160;21354;21650;21772;22052;22336;22075;22480;22384;22254;22223;22083;22016;22003;21762;21781;22011;21655;21895;21773;22099;21922;22000;21810;21876;21603;21666;21801;21729;21616;21418;21455;21239;21113;21061;20998;21083;20995;20876;20821;20485;20239;20561;21166;21131;20745;21034;20815;20788;20678;20742;20833;20746;20423;20495;20198;20181;20055;20050;20024;20075;19867;19777;19927;19906;19971;19729;19560;19509;19418;19414;19054;19190;19159;19112;19088;18935;18533;18746;18289;18226;18170;18105;18025;17956;17937;17847;17699;17815;18072;18089;18192;18221;18317;18231;18074;18108;18044;18094;18034;18130;18058;18024;17918;17734;17773;17627;17750;17758;17799;17785;17641;17434;17330;17467;17261;17382;17120;17053;17206;17127;17206;17357;17345
Vejen;0;0;0;0;0;0;0;0;0;0;9625;9625;9625;9625;9625;0;0;0;0;0;0;0;11125;11125;11125;0;0;0;0;0;0;0;10600;10600;0;9559;0;0;11395;11395;11395;13669;12291;14962;14791;14791;14791;14685;15256;15256;14583;14340;14643;14636;14474;14747;14609;14478;14348;14247;14146;14051;13670;13197;13197;13284;13284;13284;14294;14294;14494;14448;14535;14262;14208;14208;13335;12803;13654;13991;13929;13827;13688;13690;13552;13552;13484;13502;13842;14029;14532;14532;14421;14604;14604;14604;14604;14604;14604;14583;14583;14583;14583;14177;14381;13141;13145;13145;13145;13145;13145;12987;12830;12830;12830;12830;12830;13529;13625;13569;13625;14564;13354;13054;12734;12734;11695;11695;11788;11613;11613;11613;11591;13417;12222;12222;12222;11189;11189;11189;11189;11189;11189;11189;11189;11189;11189;10932;10858;11375;11375;11375;11375;11375;11375;11378;11979;11979;11979;11979;11144;10658;10658;10658;10359;9717;9717;9880
Vejle;14572;15039;15206;15318;16277;15735;15870;15591;18260;18435;18209;18209;18453;17426;20112;20896;22910;25118;22043;21716;22574;22350;23451;23366;25818;25011;23402;23856;23019;24392;24055;25137;24888;25101;25174;24381;25190;26655;25384;25172;24899;24869;25582;24722;26105;27466;26194;27405;27559;28150;27856;28893;29342;29074;29808;28951;29074;28405;28129;28752;29556;28390;28052;27465;27282;26990;26700;27236;27937;27447;25707;25443;24465;24339;24585;25730;26331;25921;26091;25804;25913;25594;24630;25257;25341;24790;24700;24761;24319;24735;25348;25132;24744;23600;23651;23898;24119;24124;23769;24053;23067;23516;23079;22548;22715;22659;22557;21895;22017;22068;22432;22509;22772;22406;22382;22204;22471;21500;22055;21828;22112;22354;22389;22601;22698;22101;22525;22201;21682;22208;22347;22758;22902;22477;22914;23276;23254;23058;23371;23186;22901;22551;21496;20981;20912;21058;21609;22072;21655;22572;22335;22155;22895;22476;21892;22120;22385;22579;21784;21649;21487;21873;21897;22465;22378;22266;22220;22486
Aabenraa;18469;16445;17819;16723;17238;0;16006;15703;16592;26394;22624;20738;21613;20307;14271;13582;13504;14400;16502;15495;15235;14852;15710;15343;15427;14849;14739;15151;15837;16046;16403;16533;16627;16939;16781;16754;16662;16697;17503;17553;17919;17913;17804;18834;19459;19046;18760;18015;18156;18254;18119;18766;18927;18834;18497;18742;18811;18868;19089;18755;19301;19312;19243;18685;18561;18502;18519;17713;17665;16865;17166;17158;16980;16739;17040;17291;16812;17751;17097;17001;17085;17664;17633;17658;17241;17468;17451;16545;16722;16453;16713;16613;16454;16827;16690;16690;16817;16617;16675;16602;16866;16136;16656;16904;16868;16457;16520;16469;16584;16518;16379;16122;15389;15341;15278;15352;15044;15065;15045;15153;15047;14682;14364;14336;14853;15092;15228;15215;14788;14276;14633;14546;14539;14848;14766;14939;14917;14788;15288;16183;16123;15980;15802;15967;16197;16177;16134;16148;16367;16428;15893;15828;15650;15225;15071;15132;15110;15229;15932;15625;15192;15294;15743;15667;15724;15631;15487;15019
Region Midtjylland;11800;11996;12363;12787;13225;13374;13283;13539;13999;14059;14086;14233;14175;14133;14462;14986;15180;15222;15661;15776;16046;16431;16386;16386;16344;16281;16522;16564;16953;17171;17161;17174;17240;17448;17671;17845;18005;18108;18135;18506;18824;18734;19013;19340;19539;19631;19602;19677;19660;19754;19605;19724;20187;20235;20227;20240;20391;20296;20103;20210;20068;19904;19781;19664;19641;19778;19626;19652;19583;19627;19417;19399;19386;19231;19177;19071;19009;19152;19116;19137;18988;19022;18979;18977;19061;18835;18780;18569;18451;18298;18314;18207;18218;18107;18094;17974;17981;17911;17895;17872;17828;17714;17632;17534;17402;17375;17424;17489;17316;17307;16839;16862;17146;16913;17019;16913;16834;16704;16414;16438;16366;16468;16488;16326;16167;16139;16136;16223;16075;16002;15908;15928;15975;15900;16104;16232;16263;16277;16279;16168;16044;16034;16151;16013;15979;16207;15991;15936;15962;15987;16147;16149;16117;16031;15487;15309;16153;16281;16514;16611;16643;16527;16619;16853;16842;16871;16982;17044
Landsdel Østjylland;13355;13712;14093;14262;14578;14735;14707;14831;15697;15759;15840;16225;16179;16155;16351;17126;17107;17060;17749;17957;18309;18950;19004;19018;18975;18878;19049;18701;19424;19730;19761;19744;19840;20103;20490;20755;20930;21257;21018;21589;21842;21719;22297;22749;22866;23035;23093;23031;23004;23129;22785;22748;23318;23295;22969;23091;23356;23220;22989;23074;22912;22727;22666;22521;22428;22667;22345;22482;22470;22501;22182;22107;22206;22041;22003;21876;21769;21802;21786;21888;21597;21592;21371;21346;21463;21162;21144;20890;20795;20663;20724;20682;20725;20598;20554;20343;20314;20305;20262;20381;20209;20084;19996;19876;19674;19627;19739;19808;19544;19450;19472;19484;19356;19040;19215;19033;18907;18774;18435;18568;18487;18737;18542;18257;18035;18004;17989;18137;17862;17802;17801;17847;17901;17792;18126;18285;18382;18469;18409;18322;18013;17939;18150;18053;17963;18183;17724;17652;17735;17713;17993;17992;17983;17868;16959;16652;18112;18405;18707;18735;18837;18731;18945;19205;19139;19311;19560;19718
Favrskov;6633;6633;6633;6633;6633;7483;6573;8333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8323;8323;0;0;11459;11459;11459;11459;11459;11459;11459;11459;11459;0;0;0;0;0;0;0;0;0;0;19792;14815;14815;14815;14815;14560;14306;14306;18646;18646;0;10656;10656;10656;10656;10656;10656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11667;11667;11667;11667;11667;11667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11393;11393;11393;11393;11393;11393;11393;11393;11393;11393;11944;11944;8410;10208;8105;10268;10268;9127;9127;9127;9127;9127;9127;9021;8624;7324;7324;7324;7324;7324;5427;5427;7808;7808;10859;0;0;0;0;0;0;7177;7177;7177;7177
Hedensted;13908;14100;14500;14151;13715;14439;13161;13461;15033;15224;15640;15662;15808;15793;15679;15883;15830;16489;16538;17623;17867;17681;18332;18518;18533;20060;19043;17912;19440;22108;21146;23224;23312;22479;22839;23318;23071;23091;22187;22178;22381;23273;22345;21734;21038;21190;21507;21398;21018;22133;24052;24552;25305;25330;25500;25105;24187;23820;23823;23860;23864;23363;22970;23334;22707;23612;24495;24422;24050;23039;22344;23881;25041;25913;27154;26671;27022;25337;25822;26123;25685;25316;22400;22420;24960;24761;25294;25455;24189;23394;23493;23333;22607;22539;22894;22812;22587;22698;22477;21814;22438;22217;22494;22719;23101;23049;23418;23657;23029;22762;22519;22638;22349;22641;23042;22615;22775;22566;22022;21312;21103;21141;21660;21596;22644;22790;21998;22077;22250;21569;21585;22055;21917;21511;21039;20451;20124;20467;20495;20837;20385;20548;20730;20876;21184;19804;19524;19211;19722;20626;20203;20474;20315;20204;19893;19796;19877;19904;20171;19783;20011;19544;19764;20258;19713;19732;19862;19705
Horsens;0;0;0;11019;11019;18646;18646;18646;18646;18646;18646;0;0;0;15240;12488;10650;13009;12454;12037;12037;0;11845;18902;11845;11845;11845;11845;18429;18429;16447;16447;15789;31439;31439;31439;31439;31439;31439;31439;31439;23638;22394;31439;31439;31439;31439;31439;31439;31439;0;20370;14067;14067;15578;15578;13008;12661;11445;12157;11981;11938;11869;11800;11700;11709;13259;12969;13237;14965;14968;14882;14999;14934;14934;14275;13561;13248;13192;15019;16341;16231;17052;16958;16731;17644;15691;15585;17353;15479;15372;14432;15903;15671;20643;20286;20286;20286;20286;18324;18501;17777;15745;16105;16107;16183;16460;19225;19225;19225;19853;19407;18391;18662;16701;16626;16119;17235;17993;18010;17169;16693;17689;16324;17572;16736;17193;17757;19821;19059;18534;17099;18076;18076;16562;16393;15150;13905;14957;14957;14921;13630;13630;13689;13689;12401;12999;12081;12227;12124;11954;11866;11797;12049;12049;11684;11754;11271;11197;11989;11833;8713;8713;9109;9343;9343;9343;9343
Norddjurs;8756;9085;9307;10174;11378;11032;10891;10721;11344;11646;11938;12197;11936;12113;12711;12741;12888;12118;13321;13509;13536;13713;13543;13323;13255;13513;14464;14926;15388;15244;15796;15451;15469;15690;15296;15270;15397;15438;15629;16082;16391;16490;16647;17503;18155;18227;18643;18337;18429;18295;18551;18562;18944;18965;18664;18430;18604;18326;18505;18406;18382;18231;18107;17924;17812;17804;17704;18050;18489;18618;18330;17802;17883;17819;17301;17311;18105;18368;18323;18096;18147;18147;18043;17262;17176;17219;17089;16847;16690;16444;16401;16332;16281;16040;15866;15632;15570;15350;15168;15364;15338;15303;15568;15461;15410;15587;15462;15417;15247;15127;15278;15188;15095;15038;14975;14921;14934;14898;14682;14668;14446;14403;14387;13985;14015;13931;13892;14048;14056;14035;13821;14004;14092;13954;13865;13892;14049;14077;13985;13937;13881;13807;13669;13663;13627;13456;10895;11110;11275;11282;11418;11348;11245;11011;8894;7438;13811;13884;13967;14237;13843;14026;14052;14035;14123;14041;13733;13520
Odder;17582;17793;17250;16323;17252;16086;16247;17898;20592;20272;20221;20812;20202;20004;18835;20441;20015;22146;22540;20758;22598;22799;23197;23519;22472;22120;24823;25247;24494;26220;26990;25058;24482;24493;24723;24591;25679;27196;27285;29489;30285;30241;30117;30345;30062;30515;29512;30173;29916;29543;29071;28488;28709;28334;28666;28991;30924;30903;31204;30949;31770;30759;30938;30184;30850;30374;29983;30981;30538;30862;30456;29560;29369;29252;30021;29571;29270;27914;27627;26809;26158;26940;27143;27297;26558;26796;27344;27246;26674;26567;26504;27450;27648;27785;26809;27243;26379;26980;27879;27059;26093;25929;24677;24600;24441;24124;24685;24542;23881;23059;22934;22602;22620;22084;22336;22604;22405;22523;21579;21964;22171;22089;21751;21728;19743;19947;19984;20524;19573;19638;19541;19638;19114;19621;21974;22073;22160;22265;22191;21728;21562;21601;22120;21198;21678;22644;22474;22783;22675;22590;23051;22802;22857;23112;22987;22153;22236;23484;23559;23665;23495;23775;23884;25396;24832;25004;25120;25510
Randers;9167;0;0;0;0;7429;7429;7429;7429;12375;14103;0;0;0;0;9151;9306;0;0;0;0;14706;14706;14706;0;0;0;9500;11745;0;0;13074;14455;14455;16406;16406;17269;17524;17858;23369;17836;17836;0;0;28099;28099;28099;28099;28099;32679;0;19403;19030;19735;24184;24751;24751;24751;24751;24751;24249;23746;22423;19484;17276;17276;17276;17276;18258;18258;22423;22423;22423;22547;22547;20380;18737;18737;21894;22231;0;23214;0;0;0;0;0;0;13764;11515;8554;9250;9467;9293;10661;10592;10731;10869;13612;13359;13106;13392;12238;12509;10454;10454;10454;9407;7157;9656;9538;9082;10311;9669;10086;9436;10284;11081;13370;13370;10798;10717;10227;10485;10030;13740;13692;12533;12751;8238;8238;8238;8238;7776;7776;7776;7776;8591;8065;8191;11900;11096;11096;8416;8416;8416;8364;10949;10886;12080;12013;11947;11801;11801;9828;9571;8500;8500;8500;9219;13747;13387;13387;13335;12926;12926;12926;10230
Samsø;11625;11966;12285;11947;11873;13080;11733;13668;13236;13342;13932;13486;14083;14083;13733;14328;14603;15340;15531;15662;15634;18236;19035;19126;25367;20319;20974;16533;16828;17251;15103;15815;15683;16896;17030;17030;18402;18841;19186;18386;19445;20030;18763;15962;16154;16530;16602;17663;17451;17112;18515;19180;22125;23682;22664;23098;22602;22960;23277;22643;23103;20422;20244;20209;20493;20164;20457;20469;20393;19797;19492;20083;20375;20375;21291;20683;20655;19380;18642;19275;14592;14974;14783;14876;14889;14824;15445;13919;13988;14047;14671;14968;15220;14708;14780;15239;15038;15005;14738;15305;15658;15537;14736;15172;15079;14953;15100;15634;15667;15379;15493;15323;15326;14615;14542;14455;14360;14551;14515;14319;14011;17657;16483;13416;13033;12698;12576;12004;12299;12723;13645;13861;13642;13347;14167;14660;14720;15472;14273;14047;14776;15937;15640;16011;16564;16653;17314;17748;17423;17242;18024;18532;18464;18157;16900;16872;16820;16930;17825;17698;18969;18409;17638;18625;19155;18998;18856;19083
Silkeborg;10919;11383;12272;12229;11637;11893;13170;13807;15893;15709;16148;17687;18958;19615;18896;19509;20270;18614;20137;17939;18662;16639;16008;15417;13895;14364;14441;13320;13494;13674;13280;14585;16807;16551;20349;23318;22320;23356;21396;19938;19915;19798;18189;19509;19238;19022;18953;18779;18554;18736;17386;17830;18428;19251;18810;19249;17848;19576;19083;20266;19297;17596;17899;18658;17106;17379;17384;17727;17697;17943;18391;18236;18720;17647;17549;17537;16848;18549;18881;19719;20338;20003;20108;20570;20772;20186;20428;20320;19884;20241;20024;18217;17145;17222;17213;16318;18071;17808;17478;17927;18638;18064;19305;18707;19330;18598;19192;19756;19943;20274;17420;17753;17470;17182;19051;18227;18950;18218;19084;18899;19062;21332;20578;19466;19509;18531;18733;19275;19215;19154;19335;18095;17225;17184;17464;17464;17211;16818;17237;17276;16948;16058;16320;15473;15377;15657;15277;15334;15580;15309;16250;15840;15932;15503;14929;14874;14942;14760;15524;15191;15624;16198;16386;16133;15924;16347;16359;16702
Skanderborg;13728;13556;13700;18848;15205;14111;15067;17500;14771;14808;14845;14732;10267;12472;11242;11242;11242;6742;0;55476;39917;55476;55476;33842;33842;33842;20567;20734;26454;24187;25184;25254;28037;25599;25559;22361;23571;23715;23715;21695;24592;25261;22409;23011;23259;21912;21912;24641;22226;26152;25588;25797;24912;24739;21099;27169;27336;27321;30220;30220;30220;30163;33055;36400;36948;36893;36396;35930;37411;36841;44562;41323;42000;42000;39203;37210;35227;33286;31088;31044;28630;28190;31669;31669;31669;31209;31209;30505;35367;34401;39686;37459;39245;36200;36461;35811;37843;37703;37562;37382;36078;35601;35418;40275;40090;40090;37536;37536;37536;36520;38753;38753;38409;32886;29912;29351;29351;27805;27805;29403;29403;28158;29253;24782;24508;24819;27776;29291;27446;32214;32214;35994;35642;33804;37569;34878;32930;32655;32041;30423;30366;30269;31528;28990;28942;28942;26763;27024;30391;28647;27371;27687;25443;25443;26201;26466;25625;27833;28414;28632;29190;29054;29865;30117;28525;30210;29858;29784
Syddjurs;14570;14771;15273;15479;15433;15974;16053;15667;15801;16031;15751;16312;16412;16340;16625;17953;17955;17786;17758;17647;17819;18355;18585;18971;19005;19355;19366;18911;19808;19822;19760;19716;19660;19417;19742;19934;20074;20315;20479;21145;20920;20577;21997;22273;22543;22315;22333;22418;22500;22639;22411;22274;22631;22395;22151;22404;22559;22247;21849;21914;22109;22529;22424;22072;22056;22416;22044;21950;21691;21779;20990;20836;20617;20248;20444;20689;20323;20549;20445;20337;20301;20154;19954;19897;19977;19582;19577;19173;19211;19359;19421;19379;19287;19357;19218;18948;19055;19006;19117;19432;19405;19140;19032;18882;18485;18414;18328;18116;18099;18135;18652;18780;18532;18431;18578;18307;18252;18059;17546;17619;17608;17637;17528;17636;17528;17404;17406;17383;16993;16759;16799;16869;17080;17062;17116;17312;17350;17443;17521;17544;17107;16846;16978;16874;16747;17025;17492;17356;17546;17299;17323;17326;17370;17372;17188;17332;17382;17615;18055;18057;17833;17842;18312;18151;18202;18440;18635;18929
Århus;16091;17427;18433;18495;19581;19218;19531;19490;22314;21492;22181;22100;21820;20986;22700;23193;22702;22532;24953;25120;27646;29546;29239;29804;28845;26605;25291;25872;26601;25925;26514;27069;27437;30567;31531;32108;31888;31830;29283;30466;32154;32200;34570;35923;34959;37780;38176;36341;36530;36523;33287;33538;35730;35675;33878;33360;35350;35414;33682;34405;30878;30990;30835;31159;31152;32135;29722;29730;30374;30604;31309;32564;33301;33454;31248;30234;29561;30939;31630;33698;33459;33473;33921;35538;35354;33813;32582;33152;33747;32983;32814;33150;34931;34156;34974;34446;33548;33701;32456;32960;31236;32139;31984;30942;30237;30551;31464;32622;31136;31239;30236;30185;30661;29007;29311;29374;27700;27619;27480;29020;28880;28822;27827;28051;27239;28105;28269;28861;28277;28885;28800;28380;29121;28397;29290;30797;32090;32238;31670;31122;29951;30622;32045;33206;31942;33740;33178;31911;30729;31505;33550;33774;34066;33505;30309;30840;31235;31793;31519;31451;33786;32218;32209;33784;33875;34387;37299;37851
Landsdel Vestjylland;10001;10018;10370;11071;11650;11783;11619;12029;12017;12090;12054;11957;11884;11823;12284;12507;12949;13102;13279;13259;13435;13560;13374;13359;13329;13305;13596;14106;14112;14237;14182;14216;14249;14397;14431;14501;14642;14489;14820;14962;15356;15298;15249;15437;15714;15717;15587;15821;15815;15872;15995;16246;16588;16717;17077;16967;16986;16933;16784;16917;16799;16657;16464;16379;16431;16451;16495;16392;16258;16320;16234;16283;16140;15996;15928;15842;15834;16103;16043;15971;15999;16079;16250;16275;16320;16181;16082;15922;15767;15589;15556;15373;15347;15256;15278;15261;15308;15169;15183;14997;15096;14994;14919;14846;14794;14793;14774;14835;14767;14855;13826;13862;14617;14480;14507;14487;14463;14336;14102;14001;13939;13872;14137;14113;14027;14003;14014;14031;14029;13938;13738;13729;13769;13733;13789;13881;13836;13767;13839;13700;13789;13851;13860;13676;13703;13939;14002;13967;13928;14008;14029;14035;13976;13923;13799;13767;13905;13843;14002;14178;14130;14002;13955;14159;14206;14071;14024;13976
Herning;12793;12793;11875;13535;13151;12951;13151;15603;12361;19318;19318;14149;14020;14003;19261;15617;15784;13291;15444;13586;14498;14451;16131;14974;14974;14974;16604;18909;20778;17591;19500;17773;13226;14485;14424;14424;15189;13980;14478;21813;22048;17011;17259;22791;24973;27722;15402;16733;12535;10053;16061;18978;20667;21651;42704;33987;39868;43030;42083;44555;44555;41092;33684;31018;29793;30718;32905;32822;31323;32091;32091;33498;30982;30324;30077;27439;23545;24836;24342;24298;27173;26405;27378;27788;28652;26323;24949;26051;24442;23838;22562;24574;26826;24823;24217;25451;24880;25240;25041;24934;27978;27754;28358;24997;27053;27053;27634;27634;27449;30967;30840;31631;30793;30843;30705;27805;27271;27034;26496;26363;26249;25857;25808;25406;25346;25556;25276;24137;22601;22380;21803;21213;21872;20874;21153;21489;20498;19025;22107;22030;23258;21991;21321;16688;16688;16023;17443;18761;20662;19337;18933;20009;21525;19337;18274;18650;20749;22006;20963;22256;28898;26768;24760;28228;28815;29023;31737;31737
Holstebro;9184;8820;9684;9819;10580;10088;9544;10135;9963;10150;10175;10399;10429;10964;11319;11081;12585;13061;12967;12715;12884;12904;12508;12748;12859;12809;12475;13012;13122;13021;12929;13403;13267;13562;13491;13719;13598;13492;14313;14392;14223;13959;14312;14214;14042;13578;13685;13851;14030;14101;14387;14310;14465;14951;15140;15059;14955;14714;14701;14487;14541;14652;14634;14478;14382;14532;14333;13749;13791;13856;13913;14016;13815;13697;13384;13643;14057;14227;14127;14222;14488;14449;14473;14483;14183;14241;14610;14622;14651;14803;14701;14396;14241;14262;14552;14602;14590;14650;14700;14449;14630;14765;14737;14291;14316;14293;14125;14044;14183;14216;14031;13955;13909;13710;13622;13798;13765;13400;13136;13012;13127;12843;12782;12893;12833;12980;12915;13096;13032;12938;12834;12852;12658;12668;12677;12647;12524;12604;12499;12240;12413;12613;12754;12653;12605;12716;12584;12565;12400;12242;12120;12225;12319;12401;12378;12361;12364;12596;12596;12569;12803;12536;12594;12728;12664;12773;12878;12745
Ikast-Brande;4556;6323;6319;6467;5505;6654;6250;6408;6162;6698;8611;8611;8606;9210;6768;9588;10875;7800;11408;10172;8921;10044;10044;9034;9034;9034;0;9392;6429;7928;7808;6071;6071;9952;9705;13409;13409;11798;16418;7920;7513;7513;8701;8520;12076;12204;12183;12163;12357;11744;11331;9580;9907;10815;9773;11494;11211;12627;12697;10807;10710;10648;10352;10986;11047;10113;10041;9969;9744;9770;10355;11559;11969;11516;11443;12285;13321;12772;11646;12692;12661;12328;13605;14040;14029;14017;14017;14353;14328;14136;13936;12942;12633;15525;15525;15525;14962;12061;11798;11769;10577;11448;11448;10235;10173;10128;10016;9474;9474;10943;11485;11655;10585;11246;10522;11560;11560;12402;12170;12612;12540;12483;12497;13020;11416;11161;10025;10000;11031;11031;10979;10928;10902;11139;10909;11089;10971;10730;10446;11683;12002;12113;11699;11289;10975;11274;11742;11026;12340;12167;12167;12044;12249;12351;12351;12197;12576;11795;11444;11444;11314;13566;12105;12127;12124;11392;12456;9444
Lemvig;8522;8599;9206;10648;10788;10395;10607;10773;11128;11403;11386;11377;11234;11516;12013;12426;12078;11758;11801;12086;11659;11751;11888;12129;11925;12133;12681;13154;13316;13593;14053;14044;13991;14097;13832;14126;14099;14262;14501;14539;14531;14977;14728;14603;14729;15128;15276;15735;16248;16071;16010;16074;16014;15723;15360;15399;14957;15089;15016;15103;14982;14864;14131;13866;13944;13817;13635;13782;13646;13458;13512;13484;13542;13426;13208;12954;12903;12547;12904;12821;12654;12800;12776;13030;13003;12926;12881;12516;12788;12661;12547;12494;12349;12602;12559;12515;12527;12475;12484;12393;12132;11941;11750;11632;11619;11785;11635;11710;11510;11621;11728;11724;11944;11979;11773;11735;11585;11628;11729;11560;11588;11654;11462;11519;11375;11380;11297;11299;11466;11383;11349;11362;11352;11095;11080;11150;11136;11164;11036;11059;10885;10833;11100;11111;11171;11955;11894;11695;11841;11786;11581;11597;11487;11541;11354;11251;11214;11130;11210;11090;11069;11369;11565;11468;11363;11319;11171;11198
Ringkøbing-Skjern;11342;11455;11840;12839;13779;14264;14106;14503;14492;14347;14230;14244;14258;13983;14405;14822;15028;15429;15562;15456;15577;15578;15407;15547;15494;15565;15745;16214;16052;16229;16044;16273;16179;16146;16230;16088;16253;15997;16320;16433;16982;17044;16904;17104;17295;17231;17392;17542;17508;17506;17593;17675;18174;18286;18227;18369;18393;18350;18201;18568;18478;18289;18175;18213;18219;18306;18375;18135;18010;18186;18038;18028;17943;17650;17615;17583;17615;18006;17908;17754;17836;17815;18084;18129;18219;18057;17948;17699;17445;17082;17132;16759;16765;16636;16732;16744;16811;16627;16668;16390;16386;16369;16361;16414;16301;16289;16371;16511;16362;16288;14119;14161;15692;15643;15707;15710;15671;15615;15184;15200;15095;15140;15742;15558;15521;15420;15458;15374;15343;15120;14847;14854;14952;14982;15130;15307;15304;15188;15316;15225;15259;15386;15403;15261;15281;15504;15455;15401;15205;15351;15521;15605;15402;15420;15319;15126;15296;15192;15359;15565;15323;15062;15008;15145;15184;15049;14871;14778
Skive;8150;8176;8129;8265;8452;8105;8091;8421;8719;8553;8648;8509;8110;7880;8178;7734;8779;9049;9239;9460;9903;10110;9704;9486;9424;9214;9765;10765;11249;11569;11209;10858;11854;12023;12212;12251;12449;12554;12437;12100;12575;12638;12464;12471;13082;13127;13051;13457;13529;14163;13706;14331;14611;14880;14969;15003;14751;14287;14152;13847;13582;13547;13917;13934;13978;14069;14011;14300;14237;14164;13988;14001;13674;14000;14139;13922;13705;14057;14038;14048;13788;14106;14237;13996;14171;14007;13807;13626;13469;13397;13325;13485;13509;13253;13032;12952;13042;12877;12854;12811;13201;12804;12491;12527;12412;12432;12313;12427;12444;12678;12706;12874;12973;12309;12636;12539;12715;12678;12940;12859;12733;12521;12398;12365;12309;12383;12538;12666;12836;12976;12734;12837;12776;12816;12458;12198;12239;12269;12195;11849;12043;12119;12079;12067;12196;12390;12704;12700;12739;13026;12986;12755;12964;12792;12531;12567;12775;12802;12725;12993;12823;12972;12871;12873;12954;12699;12673;12797
Struer;7850;7799;7535;7568;7669;8528;8138;8203;8011;7760;7378;7581;7375;7746;8067;9443;9948;9851;10024;10524;10419;11526;11627;11077;11379;10881;11019;10923;10990;10871;10959;11070;10880;10985;10868;11308;11526;11142;11424;12092;12680;12749;12965;12740;12957;12784;12718;12849;12550;12821;13228;14226;13758;13835;14459;13793;13936;13864;13629;13523;13522;13704;13842;14204;15226;14491;14662;14694;14352;14619;14274;14697;14578;14627;14248;14314;14593;14714;14371;14207;13637;13559;13761;13992;13801;13968;13780;13918;13520;13849;13996;13953;13879;13569;13629;13530;13493;13504;13527;13323;13208;12924;12723;12357;12307;12040;12180;12111;12154;11964;12433;11900;11964;11787;11404;11332;11240;11006;10872;10520;10500;10556;10708;11374;11181;11020;11074;11491;11491;11701;11656;11542;11601;11614;11772;11817;11523;11575;11475;11449;11677;11745;11574;11383;11377;11357;11768;11851;11925;12016;11812;11947;11817;11705;11789;11828;11528;11365;11848;11929;11562;11503;11631;12752;12758;12791;12580;12851
