Pris;Kommune;Dato
22090;Ishøj;2019-01-01
21951;Ishøj;2019-02-01
22574;Ishøj;2019-03-01
21686;Ishøj;2019-04-01
21654;Ishøj;2019-05-01
21932;Ishøj;2019-06-01
22138;Ishøj;2019-07-01
22460;Ishøj;2019-08-01
22890;Ishøj;2019-09-01
22866;Ishøj;2019-10-01
22694;Ishøj;2019-11-01
22555;Ishøj;2019-12-01
22669;Ishøj;2020-01-01
22663;Ishøj;2020-02-01
23364;Ishøj;2020-03-01
24162;Ishøj;2020-04-01
24766;Ishøj;2020-05-01
23713;Ishøj;2020-06-01
25755;Ishøj;2020-07-01
26711;Ishøj;2020-08-01
26185;Ishøj;2020-09-01
26011;Ishøj;2020-10-01
24094;Ishøj;2020-11-01
24910;Ishøj;2020-12-01
24632;Ishøj;2021-01-01
24910;Ishøj;2021-02-01
24778;Ishøj;2021-03-01
25319;Ishøj;2021-04-01
26119;Ishøj;2021-05-01
25268;Ishøj;2021-06-01
26699;Ishøj;2021-07-01
29144;Ishøj;2021-08-01
29398;Ishøj;2021-09-01
28678;Ishøj;2021-10-01
27019;Ishøj;2021-11-01
25644;Ishøj;2021-12-01
25595;Ishøj;2022-01-01
29341;Ishøj;2022-02-01
28615;Ishøj;2022-03-01
28335;Ishøj;2022-04-01
28882;Ishøj;2022-05-01
28870;Ishøj;2022-06-01
29042;Ishøj;2022-07-01
28866;Ishøj;2022-08-01
28258;Ishøj;2022-09-01
28453;Ishøj;2022-10-01
27820;Ishøj;2022-11-01
27232;Ishøj;2022-12-01
26935;Ishøj;2023-01-01
26809;Ishøj;2023-02-01
26619;Ishøj;2023-03-01
26557;Ishøj;2023-04-01
27168;Ishøj;2023-05-01
27350;Ishøj;2023-06-01
27246;Ishøj;2023-07-01
27016;Ishøj;2023-08-01
27228;Ishøj;2023-09-01
27994;Ishøj;2023-10-01
27578;Ishøj;2023-11-01
27302;Ishøj;2023-12-01
27092;Ishøj;2024-01-01
27715;Ishøj;2024-02-01
27516;Ishøj;2024-03-01
27850;Ishøj;2024-04-01
41763;Lyngby-Taarbæk;2018-01-01
43992;Lyngby-Taarbæk;2018-02-01
44841;Lyngby-Taarbæk;2018-03-01
46371;Lyngby-Taarbæk;2018-04-01
45742;Lyngby-Taarbæk;2018-05-01
45552;Lyngby-Taarbæk;2018-06-01
45092;Lyngby-Taarbæk;2018-07-01
45596;Lyngby-Taarbæk;2018-08-01
45050;Lyngby-Taarbæk;2018-09-01
45429;Lyngby-Taarbæk;2018-10-01
45796;Lyngby-Taarbæk;2018-11-01
