Pris;Kommune;Dato
33604;Region Hovedstaden;2015-08-01
33680;Region Hovedstaden;2015-09-01
33839;Region Hovedstaden;2015-10-01
33809;Region Hovedstaden;2015-11-01
34187;Region Hovedstaden;2015-12-01
34689;Region Hovedstaden;2016-01-01
35017;Region Hovedstaden;2016-02-01
35410;Region Hovedstaden;2016-03-01
35411;Region Hovedstaden;2016-04-01
35741;Region Hovedstaden;2016-05-01
35726;Region Hovedstaden;2016-06-01
35709;Region Hovedstaden;2016-07-01
36151;Region Hovedstaden;2016-08-01
36170;Region Hovedstaden;2016-09-01
36819;Region Hovedstaden;2016-10-01
36770;Region Hovedstaden;2016-11-01
37497;Region Hovedstaden;2016-12-01
37552;Region Hovedstaden;2017-01-01
37661;Region Hovedstaden;2017-02-01
37956;Region Hovedstaden;2017-03-01
38310;Region Hovedstaden;2017-04-01
38425;Region Hovedstaden;2017-05-01
38764;Region Hovedstaden;2017-06-01
38659;Region Hovedstaden;2017-07-01
38900;Region Hovedstaden;2017-08-01
39236;Region Hovedstaden;2017-09-01
39206;Region Hovedstaden;2017-10-01
39321;Region Hovedstaden;2017-11-01
39640;Region Hovedstaden;2017-12-01
21481;Landsdel København by;2004-01-01
21760;Landsdel København by;2004-02-01
21899;Landsdel København by;2004-03-01
22671;Landsdel København by;2004-04-01
23134;Landsdel København by;2004-05-01
23895;Landsdel København by;2004-06-01
24253;Landsdel København by;2004-07-01
24523;Landsdel København by;2004-08-01
25073;Landsdel København by;2004-09-01
25042;Landsdel København by;2004-10-01
25768;Landsdel København by;2004-11-01
26137;Landsdel København by;2004-12-01
26733;Landsdel København by;2005-01-01
27459;Landsdel København by;2005-02-01
28145;Landsdel København by;2005-03-01
29368;Landsdel København by;2005-04-01
30587;Landsdel København by;2005-05-01
31397;Landsdel København by;2005-06-01
32579;Landsdel København by;2005-07-01
33050;Landsdel København by;2005-08-01
34079;Landsdel København by;2005-09-01
35286;Landsdel København by;2005-10-01
36020;Landsdel København by;2005-11-01
36659;Landsdel København by;2005-12-01
37790;Landsdel København by;2006-01-01
38287;Landsdel København by;2006-02-01
38087;Landsdel København by;2006-03-01
38453;Landsdel København by;2006-04-01
39084;Landsdel København by;2006-05-01
39106;Landsdel København by;2006-06-01
39197;Landsdel København by;2006-07-01
38821;Landsdel København by;2006-08-01
38512;Landsdel København by;2006-09-01
38021;Landsdel København by;2006-10-01
37663;Landsdel København by;2006-11-01
37402;Landsdel København by;2006-12-01
37348;Landsdel København by;2007-01-01
36804;Landsdel København by;2007-02-01
36620;Landsdel København by;2007-03-01
36419;Landsdel København by;2007-04-01
36415;Landsdel København by;2007-05-01
36310;Landsdel København by;2007-06-01
35734;Landsdel København by;2007-07-01
35338;Landsdel København by;2007-08-01
35361;Landsdel København by;2007-09-01
34815;Landsdel København by;2007-10-01
34732;Landsdel København by;2007-11-01
34475;Landsdel København by;2007-12-01
34295;Landsdel København by;2008-01-01
34165;Landsdel København by;2008-02-01
33976;Landsdel København by;2008-03-01
33995;Landsdel København by;2008-04-01
33649;Landsdel København by;2008-05-01
33558;Landsdel København by;2008-06-01
32985;Landsdel København by;2008-07-01
32762;Landsdel København by;2008-08-01
32148;Landsdel København by;2008-09-01
31553;Landsdel København by;2008-10-01
31333;Landsdel København by;2008-11-01
31093;Landsdel København by;2008-12-01
30307;Landsdel København by;2009-01-01
30138;Landsdel København by;2009-02-01
29719;Landsdel København by;2009-03-01
29669;Landsdel København by;2009-04-01
29579;Landsdel København by;2009-05-01
29707;Landsdel København by;2009-06-01
29663;Landsdel København by;2009-07-01
29521;Landsdel København by;2009-08-01
29333;Landsdel København by;2009-09-01
29734;Landsdel København by;2009-10-01
29371;Landsdel København by;2009-11-01
29381;Landsdel København by;2009-12-01
29791;Landsdel København by;2010-01-01
29780;Landsdel København by;2010-02-01
29935;Landsdel København by;2010-03-01
30117;Landsdel København by;2010-04-01
30298;Landsdel København by;2010-05-01
30128;Landsdel København by;2010-06-01
29957;Landsdel København by;2010-07-01
29872;Landsdel København by;2010-08-01
30240;Landsdel København by;2010-09-01
29929;Landsdel København by;2010-10-01
29686;Landsdel København by;2010-11-01
29653;Landsdel København by;2010-12-01
27257;Landsdel København by;2011-01-01
27307;Landsdel København by;2011-02-01
27183;Landsdel København by;2011-03-01
26936;Landsdel København by;2011-04-01
26762;Landsdel København by;2011-05-01
26467;Landsdel København by;2011-06-01
26700;Landsdel København by;2011-07-01
26297;Landsdel København by;2011-08-01
26303;Landsdel København by;2011-09-01
26560;Landsdel København by;2011-10-01
26452;Landsdel København by;2011-11-01
26928;Landsdel København by;2011-12-01
26762;Landsdel København by;2012-01-01
26629;Landsdel København by;2012-02-01
26583;Landsdel København by;2012-03-01
26806;Landsdel København by;2012-04-01
26917;Landsdel København by;2012-05-01
27229;Landsdel København by;2012-06-01
27405;Landsdel København by;2012-07-01
27535;Landsdel København by;2012-08-01
28030;Landsdel København by;2012-09-01
28745;Landsdel København by;2012-10-01
29033;Landsdel København by;2012-11-01
