Pris;Kommune;Dato;Boligtype
16904;Nyborg;2005-11-01;Ejerlejlighed
17018;Nyborg;2005-12-01;Ejerlejlighed
16891;Nyborg;2006-01-01;Ejerlejlighed
17960;Nyborg;2006-02-01;Ejerlejlighed
18268;Nyborg;2006-03-01;Ejerlejlighed
18798;Nyborg;2006-04-01;Ejerlejlighed
19096;Nyborg;2006-05-01;Ejerlejlighed
19410;Nyborg;2006-06-01;Ejerlejlighed
20265;Nyborg;2006-07-01;Ejerlejlighed
19997;Nyborg;2006-08-01;Ejerlejlighed
21229;Nyborg;2006-09-01;Ejerlejlighed
21324;Nyborg;2006-10-01;Ejerlejlighed
20461;Nyborg;2006-11-01;Ejerlejlighed
21564;Nyborg;2006-12-01;Ejerlejlighed
21725;Nyborg;2007-01-01;Ejerlejlighed
21631;Nyborg;2007-02-01;Ejerlejlighed
21483;Nyborg;2007-03-01;Ejerlejlighed
21699;Nyborg;2007-04-01;Ejerlejlighed
19444;Nyborg;2007-05-01;Ejerlejlighed
20064;Nyborg;2007-06-01;Ejerlejlighed
19788;Nyborg;2007-07-01;Ejerlejlighed
19601;Nyborg;2007-08-01;Ejerlejlighed
21976;Nyborg;2007-09-01;Ejerlejlighed
20881;Nyborg;2007-10-01;Ejerlejlighed
23831;Nyborg;2007-11-01;Ejerlejlighed
23805;Nyborg;2007-12-01;Ejerlejlighed
24004;Nyborg;2008-01-01;Ejerlejlighed
24100;Nyborg;2008-02-01;Ejerlejlighed
24353;Nyborg;2008-03-01;Ejerlejlighed
23873;Nyborg;2008-04-01;Ejerlejlighed
23530;Nyborg;2008-05-01;Ejerlejlighed
22994;Nyborg;2008-06-01;Ejerlejlighed
22718;Nyborg;2008-07-01;Ejerlejlighed
22217;Nyborg;2008-08-01;Ejerlejlighed
22085;Nyborg;2008-09-01;Ejerlejlighed
22053;Nyborg;2008-10-01;Ejerlejlighed
22112;Nyborg;2008-11-01;Ejerlejlighed
16951;Nyborg;2008-12-01;Ejerlejlighed
17299;Nyborg;2009-01-01;Ejerlejlighed
17924;Nyborg;2009-02-01;Ejerlejlighed
17072;Nyborg;2009-03-01;Ejerlejlighed
16764;Nyborg;2009-04-01;Ejerlejlighed
15414;Nyborg;2009-05-01;Ejerlejlighed
15847;Nyborg;2009-06-01;Ejerlejlighed
15611;Nyborg;2009-07-01;Ejerlejlighed
14864;Nyborg;2009-08-01;Ejerlejlighed
14596;Nyborg;2009-09-01;Ejerlejlighed
16098;Nyborg;2009-10-01;Ejerlejlighed
15837;Nyborg;2009-11-01;Ejerlejlighed
16589;Nyborg;2009-12-01;Ejerlejlighed
16212;Nyborg;2010-01-01;Ejerlejlighed
16460;Nyborg;2010-02-01;Ejerlejlighed
15917;Nyborg;2010-03-01;Ejerlejlighed
15605;Nyborg;2010-04-01;Ejerlejlighed
15642;Nyborg;2010-05-01;Ejerlejlighed
15686;Nyborg;2010-06-01;Ejerlejlighed
15652;Nyborg;2010-07-01;Ejerlejlighed
15854;Nyborg;2010-08-01;Ejerlejlighed
16108;Nyborg;2010-09-01;Ejerlejlighed
16897;Nyborg;2010-10-01;Ejerlejlighed
16939;Nyborg;2010-11-01;Ejerlejlighed
16896;Nyborg;2010-12-01;Ejerlejlighed
16182;Nyborg;2011-01-01;Ejerlejlighed
15527;Nyborg;2011-02-01;Ejerlejlighed
14666;Nyborg;2011-03-01;Ejerlejlighed
14975;Nyborg;2011-04-01;Ejerlejlighed
14477;Nyborg;2011-05-01;Ejerlejlighed
13722;Nyborg;2011-06-01;Ejerlejlighed
13882;Nyborg;2011-07-01;Ejerlejlighed
13714;Nyborg;2011-08-01;Ejerlejlighed
14032;Nyborg;2011-09-01;Ejerlejlighed
14451;Nyborg;2011-10-01;Ejerlejlighed
13667;Nyborg;2011-11-01;Ejerlejlighed
13669;Nyborg;2011-12-01;Ejerlejlighed
14127;Nyborg;2012-01-01;Ejerlejlighed
14040;Nyborg;2012-02-01;Ejerlejlighed
13368;Nyborg;2012-03-01;Ejerlejlighed
13554;Nyborg;2012-04-01;Ejerlejlighed
13388;Nyborg;2012-05-01;Ejerlejlighed
14197;Nyborg;2012-06-01;Ejerlejlighed
14167;Nyborg;2012-07-01;Ejerlejlighed
14788;Nyborg;2012-08-01;Ejerlejlighed
12583;Nyborg;2012-09-01;Ejerlejlighed
12663;Nyborg;2012-10-01;Ejerlejlighed
13016;Nyborg;2012-11-01;Ejerlejlighed
12736;Nyborg;2012-12-01;Ejerlejlighed
12989;Nyborg;2013-01-01;Ejerlejlighed
13022;Nyborg;2013-02-01;Ejerlejlighed
12988;Nyborg;2013-03-01;Ejerlejlighed
13035;Nyborg;2013-04-01;Ejerlejlighed
13192;Nyborg;2013-05-01;Ejerlejlighed
13978;Nyborg;2013-06-01;Ejerlejlighed
14208;Nyborg;2013-07-01;Ejerlejlighed
13970;Nyborg;2013-08-01;Ejerlejlighed
13069;Nyborg;2013-09-01;Ejerlejlighed
13074;Nyborg;2013-10-01;Ejerlejlighed
13820;Nyborg;2013-11-01;Ejerlejlighed
13215;Nyborg;2013-12-01;Ejerlejlighed
13188;Nyborg;2014-01-01;Ejerlejlighed
14473;Nyborg;2014-02-01;Ejerlejlighed
14517;Nyborg;2014-03-01;Ejerlejlighed
14790;Nyborg;2014-04-01;Ejerlejlighed
14792;Nyborg;2014-05-01;Ejerlejlighed
15282;Nyborg;2014-06-01;Ejerlejlighed
14932;Nyborg;2014-07-01;Ejerlejlighed
14528;Nyborg;2014-08-01;Ejerlejlighed
14540;Nyborg;2014-09-01;Ejerlejlighed
14489;Nyborg;2014-10-01;Ejerlejlighed
13336;Nyborg;2014-11-01;Ejerlejlighed
13810;Nyborg;2014-12-01;Ejerlejlighed
14607;Nyborg;2015-01-01;Ejerlejlighed
14712;Nyborg;2015-02-01;Ejerlejlighed
14774;Nyborg;2015-03-01;Ejerlejlighed
14503;Nyborg;2015-04-01;Ejerlejlighed
14302;Nyborg;2015-05-01;Ejerlejlighed
13509;Nyborg;2015-06-01;Ejerlejlighed
12842;Nyborg;2015-07-01;Ejerlejlighed
12988;Nyborg;2015-08-01;Ejerlejlighed
13396;Nyborg;2015-09-01;Ejerlejlighed
13670;Nyborg;2015-10-01;Ejerlejlighed
14457;Nyborg;2015-11-01;Ejerlejlighed
15104;Nyborg;2015-12-01;Ejerlejlighed
14657;Nyborg;2016-01-01;Ejerlejlighed
14385;Nyborg;2016-02-01;Ejerlejlighed
16025;Nyborg;2016-03-01;Ejerlejlighed
16488;Nyborg;2016-04-01;Ejerlejlighed
15556;Nyborg;2016-05-01;Ejerlejlighed
15483;Nyborg;2016-06-01;Ejerlejlighed
15420;Nyborg;2016-07-01;Ejerlejlighed
15351;Nyborg;2016-08-01;Ejerlejlighed
14717;Nyborg;2016-09-01;Ejerlejlighed
14594;Nyborg;2016-10-01;Ejerlejlighed
14620;Nyborg;2016-11-01;Ejerlejlighed
15064;Nyborg;2016-12-01;Ejerlejlighed
15515;Nyborg;2017-01-01;Ejerlejlighed
17260;Nyborg;2017-02-01;Ejerlejlighed
15241;Nyborg;2017-03-01;Ejerlejlighed
15154;Nyborg;2017-04-01;Ejerlejlighed
14772;Nyborg;2017-05-01;Ejerlejlighed
16599;Nyborg;2017-06-01;Ejerlejlighed
16245;Nyborg;2017-07-01;Ejerlejlighed
14538;Nyborg;2017-08-01;Ejerlejlighed
13688;Nyborg;2017-09-01;Ejerlejlighed
13404;Nyborg;2017-10-01;Ejerlejlighed
15134;Nyborg;2017-11-01;Ejerlejlighed
15990;Nyborg;2017-12-01;Ejerlejlighed
10433;Odense;2004-01-01;Ejerlejlighed
10439;Odense;2004-02-01;Ejerlejlighed
10615;Odense;2004-03-01;Ejerlejlighed
10605;Odense;2004-04-01;Ejerlejlighed
10797;Odense;2004-05-01;Ejerlejlighed
11040;Odense;2004-06-01;Ejerlejlighed
11135;Odense;2004-07-01;Ejerlejlighed
14098;Odense;2004-08-01;Ejerlejlighed
14011;Odense;2004-09-01;Ejerlejlighed
13320;Odense;2004-10-01;Ejerlejlighed
13392;Odense;2004-11-01;Ejerlejlighed
13444;Odense;2004-12-01;Ejerlejlighed
14000;Odense;2005-01-01;Ejerlejlighed
13876;Odense;2005-02-01;Ejerlejlighed
15822;Odense;2005-03-01;Ejerlejlighed
14087;Odense;2005-04-01;Ejerlejlighed
13920;Odense;2005-05-01;Ejerlejlighed
14470;Odense;2005-06-01;Ejerlejlighed
15081;Odense;2005-07-01;Ejerlejlighed
14912;Odense;2005-08-01;Ejerlejlighed
14184;Odense;2005-09-01;Ejerlejlighed
14844;Odense;2005-10-01;Ejerlejlighed
15043;Odense;2005-11-01;Ejerlejlighed
15309;Odense;2005-12-01;Ejerlejlighed
16027;Odense;2006-01-01;Ejerlejlighed
16077;Odense;2006-02-01;Ejerlejlighed
16015;Odense;2006-03-01;Ejerlejlighed
16563;Odense;2006-04-01;Ejerlejlighed
17269;Odense;2006-05-01;Ejerlejlighed
17534;Odense;2006-06-01;Ejerlejlighed
18204;Odense;2006-07-01;Ejerlejlighed
18742;Odense;2006-08-01;Ejerlejlighed
19149;Odense;2006-09-01;Ejerlejlighed
18937;Odense;2006-10-01;Ejerlejlighed
19197;Odense;2006-11-01;Ejerlejlighed
19220;Odense;2006-12-01;Ejerlejlighed
19289;Odense;2007-01-01;Ejerlejlighed
19435;Odense;2007-02-01;Ejerlejlighed
19253;Odense;2007-03-01;Ejerlejlighed
19174;Odense;2007-04-01;Ejerlejlighed
19441;Odense;2007-05-01;Ejerlejlighed
19116;Odense;2007-06-01;Ejerlejlighed
18797;Odense;2007-07-01;Ejerlejlighed
19072;Odense;2007-08-01;Ejerlejlighed
18847;Odense;2007-09-01;Ejerlejlighed
18867;Odense;2007-10-01;Ejerlejlighed
21135;Odense;2007-11-01;Ejerlejlighed
20991;Odense;2007-12-01;Ejerlejlighed
22081;Odense;2008-01-01;Ejerlejlighed
21822;Odense;2008-02-01;Ejerlejlighed
21797;Odense;2008-03-01;Ejerlejlighed
21693;Odense;2008-04-01;Ejerlejlighed
21350;Odense;2008-05-01;Ejerlejlighed
21111;Odense;2008-06-01;Ejerlejlighed
21185;Odense;2008-07-01;Ejerlejlighed
20893;Odense;2008-08-01;Ejerlejlighed
20886;Odense;2008-09-01;Ejerlejlighed
20695;Odense;2008-10-01;Ejerlejlighed
20562;Odense;2008-11-01;Ejerlejlighed
20474;Odense;2008-12-01;Ejerlejlighed
19585;Odense;2009-01-01;Ejerlejlighed
19562;Odense;2009-02-01;Ejerlejlighed
19371;Odense;2009-03-01;Ejerlejlighed
19275;Odense;2009-04-01;Ejerlejlighed
19124;Odense;2009-05-01;Ejerlejlighed
18279;Odense;2009-06-01;Ejerlejlighed
18270;Odense;2009-07-01;Ejerlejlighed
18293;Odense;2009-08-01;Ejerlejlighed
17855;Odense;2009-09-01;Ejerlejlighed
18099;Odense;2009-10-01;Ejerlejlighed
18225;Odense;2009-11-01;Ejerlejlighed
18132;Odense;2009-12-01;Ejerlejlighed
18020;Odense;2010-01-01;Ejerlejlighed
17767;Odense;2010-02-01;Ejerlejlighed
17722;Odense;2010-03-01;Ejerlejlighed
17926;Odense;2010-04-01;Ejerlejlighed
17702;Odense;2010-05-01;Ejerlejlighed
17794;Odense;2010-06-01;Ejerlejlighed
17881;Odense;2010-07-01;Ejerlejlighed
17661;Odense;2010-08-01;Ejerlejlighed
17939;Odense;2010-09-01;Ejerlejlighed
18064;Odense;2010-10-01;Ejerlejlighed
18016;Odense;2010-11-01;Ejerlejlighed
17923;Odense;2010-12-01;Ejerlejlighed
17084;Odense;2011-01-01;Ejerlejlighed
17334;Odense;2011-02-01;Ejerlejlighed
17391;Odense;2011-03-01;Ejerlejlighed
17354;Odense;2011-04-01;Ejerlejlighed
17986;Odense;2011-05-01;Ejerlejlighed
17746;Odense;2011-06-01;Ejerlejlighed
17807;Odense;2011-07-01;Ejerlejlighed
17541;Odense;2011-08-01;Ejerlejlighed
17885;Odense;2011-09-01;Ejerlejlighed
17778;Odense;2011-10-01;Ejerlejlighed
17792;Odense;2011-11-01;Ejerlejlighed
17866;Odense;2011-12-01;Ejerlejlighed
18128;Odense;2012-01-01;Ejerlejlighed
17926;Odense;2012-02-01;Ejerlejlighed
17468;Odense;2012-03-01;Ejerlejlighed
17304;Odense;2012-04-01;Ejerlejlighed
16987;Odense;2012-05-01;Ejerlejlighed
16942;Odense;2012-06-01;Ejerlejlighed
16837;Odense;2012-07-01;Ejerlejlighed
16928;Odense;2012-08-01;Ejerlejlighed
17001;Odense;2012-09-01;Ejerlejlighed
16995;Odense;2012-10-01;Ejerlejlighed
16833;Odense;2012-11-01;Ejerlejlighed
16757;Odense;2012-12-01;Ejerlejlighed
16567;Odense;2013-01-01;Ejerlejlighed
16253;Odense;2013-02-01;Ejerlejlighed
16131;Odense;2013-03-01;Ejerlejlighed
15959;Odense;2013-04-01;Ejerlejlighed
16181;Odense;2013-05-01;Ejerlejlighed
16225;Odense;2013-06-01;Ejerlejlighed
16151;Odense;2013-07-01;Ejerlejlighed
16298;Odense;2013-08-01;Ejerlejlighed
16537;Odense;2013-09-01;Ejerlejlighed
16999;Odense;2013-10-01;Ejerlejlighed
16721;Odense;2013-11-01;Ejerlejlighed
16495;Odense;2013-12-01;Ejerlejlighed
16481;Odense;2014-01-01;Ejerlejlighed
16362;Odense;2014-02-01;Ejerlejlighed
16326;Odense;2014-03-01;Ejerlejlighed
16312;Odense;2014-04-01;Ejerlejlighed
16301;Odense;2014-05-01;Ejerlejlighed
16298;Odense;2014-06-01;Ejerlejlighed
16586;Odense;2014-07-01;Ejerlejlighed
16615;Odense;2014-08-01;Ejerlejlighed
16613;Odense;2014-09-01;Ejerlejlighed
18399;Odense;2014-10-01;Ejerlejlighed
18506;Odense;2014-11-01;Ejerlejlighed
18633;Odense;2014-12-01;Ejerlejlighed
18934;Odense;2015-01-01;Ejerlejlighed
18608;Odense;2015-02-01;Ejerlejlighed
18300;Odense;2015-03-01;Ejerlejlighed
18559;Odense;2015-04-01;Ejerlejlighed
18531;Odense;2015-05-01;Ejerlejlighed
18834;Odense;2015-06-01;Ejerlejlighed
18686;Odense;2015-07-01;Ejerlejlighed
20227;Odense;2015-08-01;Ejerlejlighed
20435;Odense;2015-09-01;Ejerlejlighed
20375;Odense;2015-10-01;Ejerlejlighed
20984;Odense;2015-11-01;Ejerlejlighed
21288;Odense;2015-12-01;Ejerlejlighed
21217;Odense;2016-01-01;Ejerlejlighed
21626;Odense;2016-02-01;Ejerlejlighed
21375;Odense;2016-03-01;Ejerlejlighed
20955;Odense;2016-04-01;Ejerlejlighed
20407;Odense;2016-05-01;Ejerlejlighed
20065;Odense;2016-06-01;Ejerlejlighed
19762;Odense;2016-07-01;Ejerlejlighed
19453;Odense;2016-08-01;Ejerlejlighed
19568;Odense;2016-09-01;Ejerlejlighed
20006;Odense;2016-10-01;Ejerlejlighed
20772;Odense;2016-11-01;Ejerlejlighed
22873;Odense;2016-12-01;Ejerlejlighed
23097;Odense;2017-01-01;Ejerlejlighed
23156;Odense;2017-02-01;Ejerlejlighed
22907;Odense;2017-03-01;Ejerlejlighed
22520;Odense;2017-04-01;Ejerlejlighed
22732;Odense;2017-05-01;Ejerlejlighed
23444;Odense;2017-06-01;Ejerlejlighed
22993;Odense;2017-07-01;Ejerlejlighed
23904;Odense;2017-08-01;Ejerlejlighed
23844;Odense;2017-09-01;Ejerlejlighed
23390;Odense;2017-10-01;Ejerlejlighed
23683;Odense;2017-11-01;Ejerlejlighed
23998;Odense;2017-12-01;Ejerlejlighed
8762;Svendborg;2004-01-01;Ejerlejlighed
10368;Svendborg;2004-02-01;Ejerlejlighed
11555;Svendborg;2004-03-01;Ejerlejlighed
11002;Svendborg;2004-04-01;Ejerlejlighed
10831;Svendborg;2004-05-01;Ejerlejlighed
11141;Svendborg;2004-06-01;Ejerlejlighed
10718;Svendborg;2004-07-01;Ejerlejlighed
11175;Svendborg;2004-08-01;Ejerlejlighed
11383;Svendborg;2004-09-01;Ejerlejlighed
11716;Svendborg;2004-10-01;Ejerlejlighed
11605;Svendborg;2004-11-01;Ejerlejlighed
11786;Svendborg;2004-12-01;Ejerlejlighed
12093;Svendborg;2005-01-01;Ejerlejlighed
12445;Svendborg;2005-02-01;Ejerlejlighed
12486;Svendborg;2005-03-01;Ejerlejlighed
12439;Svendborg;2005-04-01;Ejerlejlighed
12372;Svendborg;2005-05-01;Ejerlejlighed
12648;Svendborg;2005-06-01;Ejerlejlighed
12931;Svendborg;2005-07-01;Ejerlejlighed
12849;Svendborg;2005-08-01;Ejerlejlighed
13005;Svendborg;2005-09-01;Ejerlejlighed
13738;Svendborg;2005-10-01;Ejerlejlighed
14369;Svendborg;2005-11-01;Ejerlejlighed
13722;Svendborg;2005-12-01;Ejerlejlighed
13117;Svendborg;2006-01-01;Ejerlejlighed
12176;Svendborg;2006-02-01;Ejerlejlighed
12755;Svendborg;2006-03-01;Ejerlejlighed
12292;Svendborg;2006-04-01;Ejerlejlighed
11087;Svendborg;2006-05-01;Ejerlejlighed
11464;Svendborg;2006-06-01;Ejerlejlighed
12413;Svendborg;2006-07-01;Ejerlejlighed
13067;Svendborg;2006-08-01;Ejerlejlighed
13366;Svendborg;2006-09-01;Ejerlejlighed
14581;Svendborg;2006-10-01;Ejerlejlighed
12782;Svendborg;2006-11-01;Ejerlejlighed
12905;Svendborg;2006-12-01;Ejerlejlighed
12483;Svendborg;2007-01-01;Ejerlejlighed
13187;Svendborg;2007-02-01;Ejerlejlighed
13306;Svendborg;2007-03-01;Ejerlejlighed
15328;Svendborg;2007-04-01;Ejerlejlighed
16894;Svendborg;2007-05-01;Ejerlejlighed
16946;Svendborg;2007-06-01;Ejerlejlighed
16748;Svendborg;2007-07-01;Ejerlejlighed
16033;Svendborg;2007-08-01;Ejerlejlighed
16869;Svendborg;2007-09-01;Ejerlejlighed
17048;Svendborg;2007-10-01;Ejerlejlighed
18330;Svendborg;2007-11-01;Ejerlejlighed
17861;Svendborg;2007-12-01;Ejerlejlighed
18528;Svendborg;2008-01-01;Ejerlejlighed
19040;Svendborg;2008-02-01;Ejerlejlighed
19165;Svendborg;2008-03-01;Ejerlejlighed
18948;Svendborg;2008-04-01;Ejerlejlighed
19483;Svendborg;2008-05-01;Ejerlejlighed
19683;Svendborg;2008-06-01;Ejerlejlighed
19060;Svendborg;2008-07-01;Ejerlejlighed
18906;Svendborg;2008-08-01;Ejerlejlighed
19237;Svendborg;2008-09-01;Ejerlejlighed
19513;Svendborg;2008-10-01;Ejerlejlighed
19197;Svendborg;2008-11-01;Ejerlejlighed
19298;Svendborg;2008-12-01;Ejerlejlighed
19115;Svendborg;2009-01-01;Ejerlejlighed
19049;Svendborg;2009-02-01;Ejerlejlighed
18878;Svendborg;2009-03-01;Ejerlejlighed
19240;Svendborg;2009-04-01;Ejerlejlighed
18899;Svendborg;2009-05-01;Ejerlejlighed
18524;Svendborg;2009-06-01;Ejerlejlighed
18637;Svendborg;2009-07-01;Ejerlejlighed
18186;Svendborg;2009-08-01;Ejerlejlighed
19374;Svendborg;2009-09-01;Ejerlejlighed
18907;Svendborg;2009-10-01;Ejerlejlighed
19182;Svendborg;2009-11-01;Ejerlejlighed
18761;Svendborg;2009-12-01;Ejerlejlighed
18659;Svendborg;2010-01-01;Ejerlejlighed
18449;Svendborg;2010-02-01;Ejerlejlighed
17810;Svendborg;2010-03-01;Ejerlejlighed
15853;Svendborg;2010-04-01;Ejerlejlighed
15525;Svendborg;2010-05-01;Ejerlejlighed
15674;Svendborg;2010-06-01;Ejerlejlighed
14762;Svendborg;2010-07-01;Ejerlejlighed
15081;Svendborg;2010-08-01;Ejerlejlighed
15220;Svendborg;2010-09-01;Ejerlejlighed
14848;Svendborg;2010-10-01;Ejerlejlighed
14560;Svendborg;2010-11-01;Ejerlejlighed
15153;Svendborg;2010-12-01;Ejerlejlighed
15144;Svendborg;2011-01-01;Ejerlejlighed
15142;Svendborg;2011-02-01;Ejerlejlighed
15309;Svendborg;2011-03-01;Ejerlejlighed
16469;Svendborg;2011-04-01;Ejerlejlighed
16398;Svendborg;2011-05-01;Ejerlejlighed
15983;Svendborg;2011-06-01;Ejerlejlighed
15405;Svendborg;2011-07-01;Ejerlejlighed
16612;Svendborg;2011-08-01;Ejerlejlighed
17401;Svendborg;2011-09-01;Ejerlejlighed
16884;Svendborg;2011-10-01;Ejerlejlighed
16643;Svendborg;2011-11-01;Ejerlejlighed
16225;Svendborg;2011-12-01;Ejerlejlighed
16489;Svendborg;2012-01-01;Ejerlejlighed
16449;Svendborg;2012-02-01;Ejerlejlighed
16033;Svendborg;2012-03-01;Ejerlejlighed
15772;Svendborg;2012-04-01;Ejerlejlighed
15476;Svendborg;2012-05-01;Ejerlejlighed
15923;Svendborg;2012-06-01;Ejerlejlighed
15633;Svendborg;2012-07-01;Ejerlejlighed
15693;Svendborg;2012-08-01;Ejerlejlighed
14652;Svendborg;2012-09-01;Ejerlejlighed
13813;Svendborg;2012-10-01;Ejerlejlighed
14658;Svendborg;2012-11-01;Ejerlejlighed
14861;Svendborg;2012-12-01;Ejerlejlighed
14244;Svendborg;2013-01-01;Ejerlejlighed
14176;Svendborg;2013-02-01;Ejerlejlighed
14209;Svendborg;2013-03-01;Ejerlejlighed
14447;Svendborg;2013-04-01;Ejerlejlighed
14732;Svendborg;2013-05-01;Ejerlejlighed
14756;Svendborg;2013-06-01;Ejerlejlighed
14331;Svendborg;2013-07-01;Ejerlejlighed
14842;Svendborg;2013-08-01;Ejerlejlighed
14640;Svendborg;2013-09-01;Ejerlejlighed
14576;Svendborg;2013-10-01;Ejerlejlighed
14631;Svendborg;2013-11-01;Ejerlejlighed
15528;Svendborg;2013-12-01;Ejerlejlighed
15530;Svendborg;2014-01-01;Ejerlejlighed
15937;Svendborg;2014-02-01;Ejerlejlighed
14305;Svendborg;2014-03-01;Ejerlejlighed
15629;Svendborg;2014-04-01;Ejerlejlighed
15393;Svendborg;2014-05-01;Ejerlejlighed
14732;Svendborg;2014-06-01;Ejerlejlighed
14392;Svendborg;2014-07-01;Ejerlejlighed
13180;Svendborg;2014-08-01;Ejerlejlighed
13098;Svendborg;2014-09-01;Ejerlejlighed
12867;Svendborg;2014-10-01;Ejerlejlighed
12825;Svendborg;2014-11-01;Ejerlejlighed
12699;Svendborg;2014-12-01;Ejerlejlighed
12670;Svendborg;2015-01-01;Ejerlejlighed
12321;Svendborg;2015-02-01;Ejerlejlighed
12609;Svendborg;2015-03-01;Ejerlejlighed
12683;Svendborg;2015-04-01;Ejerlejlighed
12413;Svendborg;2015-05-01;Ejerlejlighed
13489;Svendborg;2015-06-01;Ejerlejlighed
13274;Svendborg;2015-07-01;Ejerlejlighed
13729;Svendborg;2015-08-01;Ejerlejlighed
14469;Svendborg;2015-09-01;Ejerlejlighed
13585;Svendborg;2015-10-01;Ejerlejlighed
13664;Svendborg;2015-11-01;Ejerlejlighed
13701;Svendborg;2015-12-01;Ejerlejlighed
13371;Svendborg;2016-01-01;Ejerlejlighed
13587;Svendborg;2016-02-01;Ejerlejlighed
14373;Svendborg;2016-03-01;Ejerlejlighed
14117;Svendborg;2016-04-01;Ejerlejlighed
14593;Svendborg;2016-05-01;Ejerlejlighed
14965;Svendborg;2016-06-01;Ejerlejlighed
15282;Svendborg;2016-07-01;Ejerlejlighed
13450;Svendborg;2016-08-01;Ejerlejlighed
13670;Svendborg;2016-09-01;Ejerlejlighed
13456;Svendborg;2016-10-01;Ejerlejlighed
13692;Svendborg;2016-11-01;Ejerlejlighed
13020;Svendborg;2016-12-01;Ejerlejlighed
13677;Svendborg;2017-01-01;Ejerlejlighed
13910;Svendborg;2017-02-01;Ejerlejlighed
13021;Svendborg;2017-03-01;Ejerlejlighed
12573;Svendborg;2017-04-01;Ejerlejlighed
12370;Svendborg;2017-05-01;Ejerlejlighed
12166;Svendborg;2017-06-01;Ejerlejlighed
12242;Svendborg;2017-07-01;Ejerlejlighed
12715;Svendborg;2017-08-01;Ejerlejlighed
14088;Svendborg;2017-09-01;Ejerlejlighed
13137;Svendborg;2017-10-01;Ejerlejlighed
13246;Svendborg;2017-11-01;Ejerlejlighed
13668;Svendborg;2017-12-01;Ejerlejlighed
0;Ærø;2004-01-01;Ejerlejlighed
0;Ærø;2004-02-01;Ejerlejlighed
0;Ærø;2004-03-01;Ejerlejlighed
0;Ærø;2004-04-01;Ejerlejlighed
0;Ærø;2004-05-01;Ejerlejlighed
0;Ærø;2004-06-01;Ejerlejlighed
0;Ærø;2004-07-01;Ejerlejlighed
0;Ærø;2004-08-01;Ejerlejlighed
0;Ærø;2004-09-01;Ejerlejlighed
0;Ærø;2004-10-01;Ejerlejlighed
0;Ærø;2004-11-01;Ejerlejlighed
0;Ærø;2004-12-01;Ejerlejlighed
0;Ærø;2005-01-01;Ejerlejlighed
0;Ærø;2005-02-01;Ejerlejlighed
0;Ærø;2005-03-01;Ejerlejlighed
0;Ærø;2005-04-01;Ejerlejlighed
0;Ærø;2005-05-01;Ejerlejlighed
0;Ærø;2005-06-01;Ejerlejlighed
0;Ærø;2005-07-01;Ejerlejlighed
0;Ærø;2005-08-01;Ejerlejlighed
21023;Ærø;2005-09-01;Ejerlejlighed
21023;Ærø;2005-10-01;Ejerlejlighed
21023;Ærø;2005-11-01;Ejerlejlighed
0;Ærø;2005-12-01;Ejerlejlighed
0;Ærø;2006-01-01;Ejerlejlighed
0;Ærø;2006-02-01;Ejerlejlighed
0;Ærø;2006-03-01;Ejerlejlighed
0;Ærø;2006-04-01;Ejerlejlighed
0;Ærø;2006-05-01;Ejerlejlighed
6614;Ærø;2006-06-01;Ejerlejlighed
6614;Ærø;2006-07-01;Ejerlejlighed
6614;Ærø;2006-08-01;Ejerlejlighed
9740;Ærø;2006-09-01;Ejerlejlighed
9740;Ærø;2006-10-01;Ejerlejlighed
9740;Ærø;2006-11-01;Ejerlejlighed
21324;Ærø;2006-12-01;Ejerlejlighed
21324;Ærø;2007-01-01;Ejerlejlighed
21324;Ærø;2007-02-01;Ejerlejlighed
21324;Ærø;2007-03-01;Ejerlejlighed
12604;Ærø;2007-04-01;Ejerlejlighed
12604;Ærø;2007-05-01;Ejerlejlighed
12604;Ærø;2007-06-01;Ejerlejlighed
12604;Ærø;2007-07-01;Ejerlejlighed
12604;Ærø;2007-08-01;Ejerlejlighed
13364;Ærø;2007-09-01;Ejerlejlighed
20772;Ærø;2007-10-01;Ejerlejlighed
21324;Ærø;2007-11-01;Ejerlejlighed
13625;Ærø;2007-12-01;Ejerlejlighed
14018;Ærø;2008-01-01;Ejerlejlighed
13625;Ærø;2008-02-01;Ejerlejlighed
13625;Ærø;2008-03-01;Ejerlejlighed
13042;Ærø;2008-04-01;Ejerlejlighed
11570;Ærø;2008-05-01;Ejerlejlighed
18676;Ærø;2008-06-01;Ejerlejlighed
18382;Ærø;2008-07-01;Ejerlejlighed
18676;Ærø;2008-08-01;Ejerlejlighed
18676;Ærø;2008-09-01;Ejerlejlighed
18676;Ærø;2008-10-01;Ejerlejlighed
18676;Ærø;2008-11-01;Ejerlejlighed
19069;Ærø;2008-12-01;Ejerlejlighed
19069;Ærø;2009-01-01;Ejerlejlighed
19069;Ærø;2009-02-01;Ejerlejlighed
19485;Ærø;2009-03-01;Ejerlejlighed
19118;Ærø;2009-04-01;Ejerlejlighed
19118;Ærø;2009-05-01;Ejerlejlighed
19118;Ærø;2009-06-01;Ejerlejlighed
18309;Ærø;2009-07-01;Ejerlejlighed
18309;Ærø;2009-08-01;Ejerlejlighed
0;Ærø;2009-09-01;Ejerlejlighed
0;Ærø;2009-10-01;Ejerlejlighed
21061;Ærø;2009-11-01;Ejerlejlighed
21061;Ærø;2009-12-01;Ejerlejlighed
